name,url,website_url,featured,rating,num_reviews,num_users,version,size,developer,updated_date,num_languages,timestamp
Reader View,https://chromewebstore.google.com/detail/reader-view/fachffmaagpajehggpkaigkacdjhkkdn,https://readerview.freeonlineapps.net/,True,4.7,105,10000,3.0.0,350KiB,"Website
Email","October 31, 2023",40.0,2025-04-28 12:59:20
Power Thesaurus,https://chromewebstore.google.com/detail/power-thesaurus/hhnjkanigjoiglnlopahbbjdbfhkndjk,https://powerthesaurus.org/,True,4.5,450,100000,4.2.5,3.52MiB,"Power Thesaurus
2633 Gold Coast Hwy Broadbeach, QLD 4218 AU
Website
Email","April 15, 2025",,2025-04-28 12:59:24
Mirinae for Chrome,https://chromewebstore.google.com/detail/mirinae-for-chrome/nagkhplkbmnpanjfjpoepjmikmegcihp,https://chromewebstore.google.com/user/installed,False,4.4,14,781,0.9.5,231KiB,Email,"September 2, 2021",,2025-04-28 12:59:26
ChirpTTS,https://chromewebstore.google.com/detail/chirptts/medoheipfnhegpaohjdmlicpcilieglb,https://chirptts.vercel.app/,False,5.0,4,19,1.0,74.92KiB,"Website
Email","June 7, 2024",,2025-04-28 12:59:28
Pronunciation,https://chromewebstore.google.com/detail/pronunciation/nnbidmodmbkejgpldfcoefhpioggghba,https://chromewebstore.google.com/user/installed,False,4.0,4,1000,1.0,8.94KiB,Email,"August 11, 2018",,2025-04-28 12:59:29
AI Companion,https://chromewebstore.google.com/detail/ai-companion/fdjaldimficjpblmcfjblmphjebdnbpp,https://chromewebstore.google.com/user/installed,False,5.0,1,3,2.1,141KiB,Email,"January 7, 2025",,2025-04-28 12:59:31
Read Easy,https://chromewebstore.google.com/detail/read-easy/nnfkkakpbcbbbjiiiieocdeoomoepmja,https://giteshdalal.com/,False,4.2,5,286,1.2.0,1.77MiB,"Website
Email","September 6, 2020",,2025-04-28 12:59:33
Repeet - translate and learn with flashcards,https://chromewebstore.google.com/detail/repeet-translate-and-lear/ecgilihpikediiegakjggmoalhcmmbfi,https://repeet.app/,False,5.0,7,209,1.1.2,157KiB,"Website
Email","April 27, 2025",,2025-04-28 12:59:34
Vizam - Screenshot & Video capture tool,https://chromewebstore.google.com/detail/vizam-screenshot-video-ca/eclnikmacpcandpbfjkjgnoicmlpkkdj,https://vizam.ai/,True,4.8,62,1000,4.0.4,27.49MiB,"VIVIDMINDS TECHNOLOGIES PRIVATE LIMITED
8-2-293/82/A/379 and 379/A, Plot No.379, Road No.10, Jubilee Hills Hyderabad, Telangana 500033 IN
Website
Email
Phone","March 19, 2025",,2025-04-28 12:59:36
WebForAll,https://chromewebstore.google.com/detail/webforall/ppbogfemkhicpfpoblfgccpaaikhoooj,https://chromewebstore.google.com/user/installed,False,5.0,3,13,1.0,85.85KiB,Email,"June 15, 2024",,2025-04-28 12:59:38
